Copyright 2021 Zenauth Ltd.

This product includes software developed by The Apache Software Foundation (http://www.apache.org/).

Third-party dependencies used by the Cerbos project:



Package                                                           URL                                                                                              Licence
contrib.go.opencensus.io/exporter/jaeger                          Unknown                                                                                          Apache-2.0
contrib.go.opencensus.io/exporter/prometheus                      Unknown                                                                                          Apache-2.0
github.com/alecthomas/chroma                                      https://github.com/alecthomas/chroma/blob/master/COPYING                                         MIT
github.com/antlr/antlr4/runtime/Go/antlr                          https://github.com/antlr/antlr4/blob/master/runtime/Go/antlr/LICENSE.txt                         MIT
github.com/beorn7/perks/quantile                                  https://github.com/beorn7/perks/blob/master/quantile/LICENSE                                     MIT
github.com/bluele/gcache                                          https://github.com/bluele/gcache/blob/master/LICENSE                                             MIT
github.com/cespare/xxhash                                         https://github.com/cespare/xxhash/blob/master/LICENSE.txt                                        MIT
github.com/cespare/xxhash/v2                                      https://github.com/cespare/xxhash/blob/master/v2/LICENSE.txt                                     MIT
github.com/danwakefield/fnmatch                                   https://github.com/danwakefield/fnmatch/blob/master/LICENSE                                      BSD-2-Clause
github.com/DataDog/zstd                                           https://github.com/DataDog/zstd/blob/master/LICENSE                                              BSD-3-Clause
github.com/davecgh/go-spew/spew                                   https://github.com/davecgh/go-spew/blob/master/spew/LICENSE                                      ISC
github.com/dgraph-io/badger/v3                                    https://github.com/dgraph-io/badger/blob/master/v3/LICENSE                                       Apache-2.0
github.com/dgraph-io/ristretto                                    https://github.com/dgraph-io/ristretto/blob/master/LICENSE                                       Apache-2.0
github.com/dgraph-io/ristretto/z                                  https://github.com/dgraph-io/ristretto/blob/master/z/LICENSE                                     MIT
github.com/dlclark/regexp2                                        https://github.com/dlclark/regexp2/blob/master/LICENSE                                           MIT
github.com/doug-martin/goqu/v9                                    https://github.com/doug-martin/goqu/blob/master/v9/LICENSE                                       MIT
github.com/dustin/go-humanize                                     https://github.com/dustin/go-humanize/blob/master/LICENSE                                        MIT
github.com/emirpasic/gods                                         https://github.com/emirpasic/gods/blob/master/LICENSE                                            BSD-2-Clause
github.com/envoyproxy/protoc-gen-validate/validate                https://github.com/envoyproxy/protoc-gen-validate/blob/master/validate/LICENSE                   Apache-2.0
github.com/fatih/color                                            https://github.com/fatih/color/blob/master/LICENSE.md                                            MIT
github.com/felixge/httpsnoop                                      https://github.com/felixge/httpsnoop/blob/master/LICENSE.txt                                     MIT
github.com/fsnotify/fsnotify                                      https://github.com/fsnotify/fsnotify/blob/master/LICENSE                                         BSD-3-Clause
github.com/gdamore/encoding                                       https://github.com/gdamore/encoding/blob/master/LICENSE                                          Apache-2.0
github.com/gdamore/tcell/v2                                       https://github.com/gdamore/tcell/blob/master/v2/LICENSE                                          Apache-2.0
github.com/ghodss/yaml                                            https://github.com/ghodss/yaml/blob/master/LICENSE                                               MIT
github.com/gobwas/glob                                            https://github.com/gobwas/glob/blob/master/LICENSE                                               MIT
github.com/go-git/gcfg                                            https://github.com/go-git/gcfg/blob/master/LICENSE                                               BSD-3-Clause
github.com/go-git/go-billy/v5                                     https://github.com/go-git/go-billy/blob/master/v5/LICENSE                                        Apache-2.0
github.com/go-git/go-git/v5                                       https://github.com/go-git/go-git/blob/master/v5/LICENSE                                          Apache-2.0
github.com/gogo/protobuf/proto                                    https://github.com/gogo/protobuf/blob/master/proto/LICENSE                                       BSD-3-Clause
github.com/go-kit/log                                             https://github.com/go-kit/log/blob/master/LICENSE                                                MIT
github.com/golang/groupcache/lru                                  https://github.com/golang/groupcache/blob/master/lru/LICENSE                                     Apache-2.0
github.com/golang/protobuf                                        https://github.com/golang/protobuf/blob/master/LICENSE                                           BSD-3-Clause
github.com/golang/snappy                                          https://github.com/golang/snappy/blob/master/LICENSE                                             BSD-3-Clause
github.com/go-logfmt/logfmt                                       https://github.com/go-logfmt/logfmt/blob/master/LICENSE                                          MIT
github.com/google/cel-go                                          https://github.com/google/cel-go/blob/master/LICENSE                                             Apache-2.0
github.com/google/flatbuffers/go                                  https://github.com/google/flatbuffers/blob/master/go/LICENSE.txt                                 Apache-2.0
github.com/google/go-cmp/cmp                                      https://github.com/google/go-cmp/blob/master/cmp/LICENSE                                         BSD-3-Clause
github.com/google/gops                                            https://github.com/google/gops/blob/master/LICENSE                                               BSD-3-Clause
github.com/gorilla/handlers                                       https://github.com/gorilla/handlers/blob/master/LICENSE                                          BSD-2-Clause
github.com/gorilla/mux                                            https://github.com/gorilla/mux/blob/master/LICENSE                                               BSD-3-Clause
github.com/grpc-ecosystem/go-grpc-middleware                      https://github.com/grpc-ecosystem/go-grpc-middleware/blob/master/LICENSE                         Apache-2.0
github.com/grpc-ecosystem/grpc-gateway/v2                         https://github.com/grpc-ecosystem/grpc-gateway/blob/master/v2/LICENSE.txt                        BSD-3-Clause
github.com/imdario/mergo                                          https://github.com/imdario/mergo/blob/master/LICENSE                                             BSD-3-Clause
github.com/jackc/chunkreader/v2                                   https://github.com/jackc/chunkreader/blob/master/v2/LICENSE                                      MIT
github.com/jackc/pgconn                                           https://github.com/jackc/pgconn/blob/master/LICENSE                                              MIT
github.com/jackc/pgio                                             https://github.com/jackc/pgio/blob/master/LICENSE                                                MIT
github.com/jackc/pgpassfile                                       https://github.com/jackc/pgpassfile/blob/master/LICENSE                                          MIT
github.com/jackc/pgproto3/v2                                      https://github.com/jackc/pgproto3/blob/master/v2/LICENSE                                         MIT
github.com/jackc/pgservicefile                                    https://github.com/jackc/pgservicefile/blob/master/LICENSE                                       MIT
github.com/jackc/pgtype                                           https://github.com/jackc/pgtype/blob/master/LICENSE                                              MIT
github.com/jackc/pgx/v4                                           https://github.com/jackc/pgx/blob/master/v4/LICENSE                                              MIT
github.com/jbenet/go-context/io                                   https://github.com/jbenet/go-context/blob/master/io/LICENSE                                      MIT
github.com/jmoiron/sqlx                                           https://github.com/jmoiron/sqlx/blob/master/LICENSE                                              MIT
github.com/jwalton/gchalk                                         https://github.com/jwalton/gchalk/blob/master/LICENSE                                            MIT
github.com/jwalton/gchalk/pkg/ansistyles                          https://github.com/jwalton/gchalk/blob/master/pkg/ansistyles/LICENSE                             MIT
github.com/jwalton/go-supportscolor                               https://github.com/jwalton/go-supportscolor/blob/master/LICENSE                                  MIT
github.com/jwalton/go-supportscolor/pkg/hasFlag                   https://github.com/jwalton/go-supportscolor/blob/master/pkg/hasFlag/LICENSE                      MIT
github.com/kavu/go_reuseport                                      https://github.com/kavu/go_reuseport/blob/master/LICENSE                                         MIT
github.com/kevinburke/ssh_config                                  https://github.com/kevinburke/ssh_config/blob/master/LICENSE                                     MIT
github.com/lucasb-eyer/go-colorful                                https://github.com/lucasb-eyer/go-colorful/blob/master/LICENSE                                   MIT
github.com/mattn/go-colorable                                     https://github.com/mattn/go-colorable/blob/master/LICENSE                                        MIT
github.com/mattn/go-isatty                                        https://github.com/mattn/go-isatty/blob/master/LICENSE                                           MIT
github.com/mattn/go-runewidth                                     https://github.com/mattn/go-runewidth/blob/master/LICENSE                                        MIT
github.com/matttproud/golang_protobuf_extensions/pbutil           https://github.com/matttproud/golang_protobuf_extensions/blob/master/pbutil/LICENSE              Apache-2.0
github.com/mitchellh/go-homedir                                   https://github.com/mitchellh/go-homedir/blob/master/LICENSE                                      MIT
github.com/oklog/ulid/v2                                          https://github.com/oklog/ulid/blob/master/v2/LICENSE                                             Apache-2.0
github.com/OneOfOne/xxhash                                        https://github.com/OneOfOne/xxhash/blob/master/LICENSE                                           Apache-2.0
github.com/open-policy-agent/opa                                  https://github.com/open-policy-agent/opa/blob/master/LICENSE                                     Apache-2.0
github.com/open-policy-agent/opa/internal/jwx                     https://github.com/open-policy-agent/opa/blob/master/internal/jwx/LICENSE                        MIT
github.com/open-policy-agent/opa/internal/semver                  https://github.com/open-policy-agent/opa/blob/master/internal/semver/LICENSE                     Apache-2.0
github.com/pkg/errors                                             https://github.com/pkg/errors/blob/master/LICENSE                                                BSD-2-Clause
github.com/planetscale/vtprotobuf/codec/grpc                      https://github.com/planetscale/vtprotobuf/blob/master/codec/grpc/LICENSE                         BSD-3-Clause
github.com/pmezard/go-difflib/difflib                             https://github.com/pmezard/go-difflib/blob/master/difflib/LICENSE                                BSD-3-Clause
github.com/prometheus/client_golang/prometheus                    https://github.com/prometheus/client_golang/blob/master/prometheus/LICENSE                       Apache-2.0
github.com/prometheus/client_model/go                             https://github.com/prometheus/client_model/blob/master/go/LICENSE                                Apache-2.0
github.com/prometheus/common                                      https://github.com/prometheus/common/blob/master/LICENSE                                         Apache-2.0
github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg  https://github.com/prometheus/common/blob/master/internal/bitbucket.org/ww/goautoneg/README.txt  BSD-3-Clause
github.com/prometheus/procfs                                      https://github.com/prometheus/procfs/blob/master/LICENSE                                         Apache-2.0
github.com/prometheus/statsd_exporter/pkg/mapper                  https://github.com/prometheus/statsd_exporter/blob/master/pkg/mapper/LICENSE                     Apache-2.0
github.com/ProtonMail/go-crypto                                   https://github.com/ProtonMail/go-crypto/blob/master/LICENSE                                      BSD-3-Clause
github.com/rcrowley/go-metrics                                    https://github.com/rcrowley/go-metrics/blob/master/LICENSE                                       BSD-2-Clause-FreeBSD
github.com/remyoudompheng/bigfft                                  https://github.com/remyoudompheng/bigfft/blob/master/LICENSE                                     BSD-3-Clause
github.com/rivo/tview                                             https://github.com/rivo/tview/blob/master/LICENSE.txt                                            MIT
github.com/rivo/uniseg                                            https://github.com/rivo/uniseg/blob/master/LICENSE.txt                                           MIT
github.com/rjeczalik/notify                                       https://github.com/rjeczalik/notify/blob/master/LICENSE                                          MIT
github.com/sergi/go-diff/diffmatchpatch                           https://github.com/sergi/go-diff/blob/master/diffmatchpatch/LICENSE                              MIT
github.com/spf13/afero                                            https://github.com/spf13/afero/blob/master/LICENSE.txt                                           Apache-2.0
github.com/spf13/cobra                                            https://github.com/spf13/cobra/blob/master/LICENSE.txt                                           Apache-2.0
github.com/spf13/pflag                                            https://github.com/spf13/pflag/blob/master/LICENSE                                               BSD-3-Clause
github.com/stoewer/go-strcase                                     https://github.com/stoewer/go-strcase/blob/master/LICENSE                                        MIT
github.com/stretchr/testify                                       https://github.com/stretchr/testify/blob/master/LICENSE                                          MIT
github.com/tidwall/gjson                                          https://github.com/tidwall/gjson/blob/master/LICENSE                                             MIT
github.com/tidwall/match                                          https://github.com/tidwall/match/blob/master/LICENSE                                             MIT
github.com/tidwall/pretty                                         https://github.com/tidwall/pretty/blob/master/LICENSE                                            MIT
github.com/tidwall/sjson                                          https://github.com/tidwall/sjson/blob/master/LICENSE                                             MIT
github.com/uber/jaeger-client-go/thrift                           https://github.com/uber/jaeger-client-go/blob/master/thrift/LICENSE                              Apache-2.0
github.com/xanzy/ssh-agent                                        https://github.com/xanzy/ssh-agent/blob/master/LICENSE                                           Apache-2.0
github.com/xeipuuv/gojsonpointer                                  Unknown                                                                                          Unknown
github.com/xeipuuv/gojsonreference                                Unknown                                                                                          Unknown
github.com/yashtewari/glob-intersection                           https://github.com/yashtewari/glob-intersection/blob/master/LICENSE                              Apache-2.0
go.elastic.co/ecszap                                              Unknown                                                                                          Apache-2.0
golang.org/x/crypto                                               Unknown                                                                                          BSD-3-Clause
golang.org/x/net                                                  Unknown                                                                                          BSD-3-Clause
golang.org/x/sync                                                 Unknown                                                                                          BSD-3-Clause
golang.org/x/sys                                                  Unknown                                                                                          BSD-3-Clause
golang.org/x/term                                                 Unknown                                                                                          BSD-3-Clause
golang.org/x/text                                                 Unknown                                                                                          BSD-3-Clause
google.golang.org/api/support/bundler                             Unknown                                                                                          BSD-3-Clause
google.golang.org/genproto                                        Unknown                                                                                          Apache-2.0
google.golang.org/grpc                                            Unknown                                                                                          Apache-2.0
google.golang.org/protobuf                                        Unknown                                                                                          BSD-3-Clause
go.opencensus.io                                                  Unknown                                                                                          Apache-2.0
gopkg.in/warnings.v0                                              Unknown                                                                                          BSD-2-Clause
gopkg.in/yaml.v2                                                  Unknown                                                                                          Apache-2.0
gopkg.in/yaml.v3                                                  Unknown                                                                                          MIT
go.uber.org/atomic                                                Unknown                                                                                          MIT
go.uber.org/automaxprocs                                          Unknown                                                                                          MIT
go.uber.org/config                                                Unknown                                                                                          MIT
go.uber.org/multierr                                              Unknown                                                                                          MIT
go.uber.org/zap                                                   Unknown                                                                                          MIT
helm.sh/helm/v3/pkg/strvals                                       Unknown                                                                                          Apache-2.0
modernc.org/libc/errno                                            Unknown                                                                                          Unknown
modernc.org/libc/fcntl                                            Unknown                                                                                          Unknown
modernc.org/libc/fts                                              Unknown                                                                                          Unknown
modernc.org/libc/grp                                              Unknown                                                                                          Unknown
modernc.org/libc/honnef.co/go/netdb                               Unknown                                                                                          MIT
modernc.org/libc/langinfo                                         Unknown                                                                                          Unknown
modernc.org/libc/limits                                           Unknown                                                                                          Unknown
modernc.org/libc/netdb                                            Unknown                                                                                          Unknown
modernc.org/libc/netinet/in                                       Unknown                                                                                          Unknown
modernc.org/libc/poll                                             Unknown                                                                                          Unknown
modernc.org/libc/pthread                                          Unknown                                                                                          Unknown
modernc.org/libc/pwd                                              Unknown                                                                                          Unknown
modernc.org/libc/signal                                           Unknown                                                                                          Unknown
modernc.org/libc/stdio                                            Unknown                                                                                          Unknown
modernc.org/libc/sys/socket                                       Unknown                                                                                          Unknown
modernc.org/libc/sys/stat                                         Unknown                                                                                          Unknown
modernc.org/libc/sys/types                                        Unknown                                                                                          Unknown
modernc.org/libc/termios                                          Unknown                                                                                          Unknown
modernc.org/libc/time                                             Unknown                                                                                          Unknown
modernc.org/libc/unistd                                           Unknown                                                                                          Unknown
modernc.org/libc                                                  Unknown                                                                                          Unknown
modernc.org/libc/uuid/uuid                                        Unknown                                                                                          Unknown
modernc.org/mathutil                                              Unknown                                                                                          Unknown
modernc.org/memory                                                Unknown                                                                                          Unknown
modernc.org/sqlite                                                Unknown                                                                                          BSD-3-Clause
sigs.k8s.io/yaml                                                  Unknown                                                                                          MIT
